General : Start date,"2/12/2018 8:56 AM"
General : End date,"2/12/2018 8:58 AM"
Test : Rate 1,"6.00000",mm/min
Specimen properties : Length,"57.20000",mm
Specimen properties : Thickness,"6.60000",mm
Specimen properties : Width,"12.92000",mm
Specimen properties : Area,"85.27200",mm^2

Time,Extension,Load,Tensile strain (Extension),Strain 1
(s),(mm),(N),(%),(%)
"9.30000","0.93012","6557.99365","1.62609","0.14684"
"9.40000","0.94015","6631.49805","1.64362","0.14822"
"9.50000","0.95021","6703.07568","1.66120","0.14913"
"9.60000","0.96016","6773.68848","1.67860","0.15072"
"9.70000","0.97011","6845.63428","1.69600","0.15185"
"9.80000","0.98017","6921.03857","1.71358","0.15288"
"9.90000","0.99022","6994.75635","1.73116","0.15386"
"10.00000","1.00023","7067.00146","1.74865","0.15472"
"10.10000","1.01023","7141.07617","1.76614","0.15649"
"10.20000","1.02023","7217.07324","1.78362","0.15769"
"10.30000","1.03016","7290.62939","1.80098","0.15874"
"10.40000","1.04014","7365.84131","1.81843","0.16042"
"10.50000","1.05022","7441.36475","1.83605","0.16198"
"10.60000","1.06022","7515.05518","1.85354","0.16258"
"10.70000","1.07015","7590.65820","1.87089","0.16383"
"10.80000","1.08015","7668.89990","1.88838","0.16538"
"10.90000","1.09018","7745.59912","1.90592","0.16658"
"11.00000","1.10014","7821.68506","1.92332","0.16778"
"11.10000","1.11014","7901.88770","1.94081","0.16878"
"11.20000","1.12020","7982.87402","1.95838","0.17052"
"11.30000","1.13020","8061.41650","1.97587","0.17172"
"11.40000","1.14015","8140.78027","1.99327","0.17307"
"11.50000","1.15013","8222.27930","2.01072","0.17448"
"11.60000","1.16016","8303.49316","2.02825","0.17566"
"11.70000","1.17016","8385.19531","2.04574","0.17728"
"11.80000","1.18019","8469.43066","2.06327","0.17824"
"11.90000","1.19025","8550.19629","2.08085","0.18030"
"12.00000","1.20018","8632.71289","2.09821","0.18158"
"12.10000","1.21015","8716.20508","2.11565","0.18250"
"12.20000","1.22023","8800.12695","2.13327","0.18431"
"12.30000","1.23024","8883.42383","2.15076","0.18545"
"12.40000","1.24016","8966.87988","2.16812","0.18702"
"12.50000","1.25017","9053.37207","2.18561","0.18823"
"12.60000","1.26020","9138.00391","2.20314","0.18988"
"12.70000","1.27015","9222.17578","2.22054","0.19121"
"12.80000","1.28015","9308.48340","2.23803","0.19259"
"12.90000","1.29021","9395.99023","2.25561","0.19434"
"13.00000","1.30016","9481.63379","2.27301","0.19550"
"13.10000","1.31012","9568.57715","2.29041","0.19713"
"13.20000","1.32017","9656.17480","2.30799","0.19859"
"13.30000","1.33017","9744.00977","2.32548","0.19985"
"13.40000","1.34015","9832.71484","2.34292","0.20144"
"13.50000","1.35021","9922.97559","2.36050","0.20328"
"13.60000","1.36021","10008.86230","2.37799","0.20432"
"13.70000","1.37014","10097.67871","2.39535","0.20630"
"13.80000","1.38009","10189.12988","2.41275","0.20787"
"13.90000","1.39022","10280.99902","2.43046","0.20917"
"14.00000","1.40025","10369.01562","2.44799","0.21099"
"14.10000","1.41015","10456.87988","2.46530","0.21224"
"14.20000","1.42013","10548.60840","2.48275","0.21364"
"14.30000","1.43019","10640.01367","2.50033","0.21538"
"14.40000","1.44014","10731.39941","2.51773","0.21730"
"14.50000","1.45017","10822.48535","2.53526","0.21844"
"14.60000","1.46022","10914.90918","2.55284","0.22006"
"14.70000","1.47020","11006.48926","2.57028","0.22146"
"14.80000","1.48013","11098.92773","2.58764","0.22299"
"14.90000","1.49021","11190.68945","2.60526","0.22463"
"15.00000","1.50021","11284.15332","2.62275","0.22605"
"15.10000","1.51017","11378.03613","2.64015","0.22782"
"15.20000","1.52019","11474.48438","2.65768","0.22957"
"15.30000","1.53020","11567.24023","2.67517","0.23114"
"15.40000","1.54010","11657.80566","2.69249","0.23238"
"15.50000","1.55011","11755.62598","2.70997","0.23413"
"15.60000","1.56021","11852.04199","2.72764","0.23589"
"15.70000","1.57021","11945.97949","2.74513","0.23711"
"15.80000","1.58014","12039.29980","2.76249","0.23895"
"15.90000","1.59017","12134.61719","2.78002","0.24031"
"16.00000","1.60022","12231.04492","2.79760","0.24244"
"16.10000","1.61018","12326.44434","2.81500","0.24401"
"16.20000","1.62021","12422.54199","2.83253","0.24551"
"16.30000","1.63026","12516.84766","2.85011","0.24753"
"16.40000","1.64016","12612.28320","2.86742","0.24866"
"16.50000","1.65012","12709.55371","2.88482","0.25069"
"16.60000","1.66020","12807.42871","2.90244","0.25210"
"16.70000","1.67020","12901.76172","2.91993","0.25402"
"16.80000","1.68015","12998.69238","2.93733","0.25573"
"16.90000","1.69016","13097.17578","2.95482","0.25723"
"17.00000","1.70016","13195.76367","2.97231","0.25880"
"17.10000","1.71012","13290.45410","2.98971","0.26056"
"17.20000","1.72009","13390.37012","3.00716","0.26244"
"17.30000","1.73017","13491.04004","3.02478","0.26380"
"17.40000","1.74020","13590.50977","3.04231","0.26579"
"17.50000","1.75016","13688.49902","3.05971","0.26708"
"17.60000","1.76018","13787.02832","3.07725","0.26885"
"17.70000","1.77019","13885.72754","3.09473","0.27094"
"17.80000","1.78017","13985.47852","3.11218","0.27253"
"17.90000","1.79020","14086.15723","3.12971","0.27386"
"18.00000","1.80028","14183.01758","3.14733","0.27611"
"18.10000","1.81020","14282.06445","3.16469","0.27783"
"18.20000","1.82016","14383.80664","3.18209","0.27945"
"18.30000","1.83021","14487.05469","3.19967","0.28103"
"18.40000","1.84021","14587.31445","3.21716","0.28300"
"18.50000","1.85017","14688.29102","3.23456","0.28454"
"18.60000","1.86017","14791.00879","3.25205","0.28616"
"18.70000","1.87018","14892.10742","3.26954","0.28777"
"18.80000","1.88013","14992.28223","3.28694","0.28977"
"18.90000","1.89011","15094.89551","3.30438","0.29148"
"19.00000","1.90019","15198.57812","3.32200","0.29334"
"19.10000","1.91019","15301.93359","3.33949","0.29467"
"19.20000","1.92017","15402.82520","3.35694","0.29663"
"19.30000","1.93020","15505.80664","3.37447","0.29840"
"19.40000","1.94018","15608.21680","3.39192","0.30043"
"19.50000","1.95010","15709.98730","3.40927","0.30182"
"19.60000","1.96016","15814.66309","3.42685","0.30362"
"19.70000","1.97021","15919.18359","3.44443","0.30547"
"19.80000","1.98019","16021.81348","3.46187","0.30725"
"19.90000","1.99015","16125.36426","3.47927","0.30924"
"20.00000","2.00020","16233.16895","3.49685","0.31126"
"20.10000","2.01020","16337.22754","3.51434","0.31279"
"20.20000","2.02018","16439.98242","3.53179","0.31483"
"20.30000","2.03021","16545.47656","3.54932","0.31629"
"20.40000","2.04019","16649.67969","3.56676","0.31816"
"20.50000","2.05014","16755.22266","3.58417","0.32008"
"20.60000","2.06015","16860.28906","3.60165","0.32183"
"20.70000","2.07020","16963.98047","3.61923","0.32361"
"20.80000","2.08020","17069.15234","3.63672","0.32566"
"20.90000","2.09016","17177.88477","3.65412","0.32720"
"21.00000","2.10019","17285.23828","3.67165","0.32919"
"21.10000","2.11019","17389.66797","3.68914","0.33099"
"21.20000","2.12012","17495.48047","3.70650","0.33272"
"21.30000","2.13012","17604.49023","3.72399","0.33474"
"21.40000","2.14020","17713.04297","3.74161","0.33677"
"21.50000","2.15023","17820.12109","3.75914","0.33839"
"21.60000","2.16016","17927.18750","3.77650","0.34037"
"21.70000","2.17016","18035.39258","3.79399","0.34204"
"21.80000","2.18017","18144.27148","3.81148","0.34409"
"21.90000","2.19022","18251.91992","3.82906","0.34601"
"22.00000","2.20020","18359.98828","3.84650","0.34767"
"22.10000","2.21018","18466.22656","3.86395","0.34963"
"22.20000","2.22008","18572.48438","3.88126","0.35159"
"22.30000","2.23011","18683.63672","3.89879","0.35350"
"22.40000","2.24021","18791.61914","3.91646","0.35534"
"22.50000","2.25022","18899.17383","3.93395","0.35731"
"22.60000","2.26017","19008.28711","3.95135","0.35913"
"22.70000","2.27020","19118.33984","3.96888","0.36109"
"22.80000","2.28020","19225.54688","3.98637","0.36265"
"22.90000","2.29016","19334.08789","4.00377","0.36461"
"23.00000","2.30016","19447.46875","4.02126","0.36672"
