General : Start date,"2/12/2018 8:52 AM"
General : End date,"2/12/2018 8:54 AM"
Test : Rate 1,"6.00000",mm/min
Specimen properties : Length,"57.20000",mm
Specimen properties : Thickness,"6.66000",mm
Specimen properties : Width,"12.94000",mm
Specimen properties : Area,"86.18040",mm^2

Time,Extension,Load,Tensile strain (Extension)
(s),(mm),(N),(%)
"0.00000","0.00028","0.48480","0.00048"
"0.10000","0.00877","2.65835","0.01533"
"0.20000","0.02001","41.16199","0.03498"
"0.30000","0.03127","117.91470","0.05467"
"0.40000","0.04208","196.73444","0.07357"
"0.50000","0.05259","284.84604","0.09194"
"0.60000","0.06297","382.29883","0.11009"
"0.70000","0.07320","476.67804","0.12797"
"0.80000","0.08326","548.90039","0.14555"
"0.90000","0.09323","625.18237","0.16300"
"1.00000","0.10331","706.17017","0.18062"
"1.10000","0.11342","784.90295","0.19828"
"1.20000","0.12340","867.93744","0.21573"
"1.30000","0.13343","951.47241","0.23326"
"1.40000","0.14343","1035.83765","0.25075"
"1.50000","0.15338","1124.13879","0.26815"
"1.60000","0.16336","1214.94788","0.28560"
"1.70000","0.17344","1309.33276","0.30322"
"1.80000","0.18342","1405.57849","0.32066"
"1.90000","0.19337","1504.43713","0.33806"
"2.00000","0.20340","1607.95471","0.35560"
"2.10000","0.21341","1711.52014","0.37309"
"2.20000","0.22338","1817.16199","0.39053"
"2.30000","0.23339","1925.63757","0.40802"
"2.40000","0.24344","2038.61780","0.42560"
"2.50000","0.25342","2153.95557","0.44304"
"2.60000","0.26335","2271.15210","0.46040"
"2.70000","0.27333","2389.15356","0.47784"
"2.80000","0.28333","2509.30396","0.49533"
"2.90000","0.29336","2631.35571","0.51287"
"3.00000","0.30341","2752.63013","0.53044"
"3.10000","0.31342","2872.14331","0.54793"
"3.20000","0.32337","2990.73315","0.56533"
"3.30000","0.33335","3114.04321","0.58278"
"3.40000","0.34343","3233.89087","0.60040"
"3.50000","0.35343","3351.50537","0.61789"
"3.60000","0.36341","3469.75732","0.63533"
"3.70000","0.37342","3589.34180","0.65282"
"3.80000","0.38342","3707.44067","0.67031"
"3.90000","0.39337","3823.38550","0.68771"
"4.00000","0.40335","3937.27637","0.70516"
"4.10000","0.41338","4050.05859","0.72269"
"4.20000","0.42336","4162.74170","0.74014"
"4.30000","0.43331","4274.11279","0.75754"
"4.40000","0.44337","4382.87988","0.77512"
"4.50000","0.45339","4491.78271","0.79265"
"4.60000","0.46335","4597.98291","0.81005"
"4.70000","0.47343","4705.42432","0.82767"
"4.80000","0.48346","4806.85986","0.84520"
"4.90000","0.49336","4908.86084","0.86252"
"5.00000","0.50334","5010.39990","0.87996"
"5.10000","0.51342","5111.36719","0.89758"
"5.20000","0.52345","5209.43945","0.91512"
"5.30000","0.53337","5306.75049","0.93247"
"5.40000","0.54335","5404.71191","0.94992"
"5.50000","0.55336","5502.55713","0.96741"
"5.60000","0.56334","5596.12256","0.98485"
